,DateTime,temp
167,2024-01-04 11:30:00,5.5
168,2024-01-04 12:00:00,5.5
169,2024-01-04 12:30:00,5.5
170,2024-01-04 13:00:00,5.5
171,2024-01-04 13:30:00,5.5
172,2024-01-04 14:00:00,5.5
173,2024-01-04 14:30:00,5.5
174,2024-01-04 15:00:00,5.5
175,2024-01-04 15:30:00,5.5
176,2024-01-04 16:00:00,5.5
177,2024-01-04 16:30:00,5.5
178,2024-01-04 17:00:00,5.5
179,2024-01-04 17:30:00,5.5
180,2024-01-04 18:00:00,5.5
181,2024-01-04 18:30:00,5.5
182,2024-01-04 19:00:00,5.5
183,2024-01-04 19:30:00,5.5
184,2024-01-04 20:00:00,5.5
185,2024-01-04 20:30:00,5.5
186,2024-01-04 21:00:00,5.5
187,2024-01-04 21:30:00,5.5
188,2024-01-04 22:00:00,5.5
189,2024-01-04 22:30:00,5.5
190,2024-01-04 23:00:00,5.5
191,2024-01-04 23:30:00,5.5
192,2024-01-05 00:00:00,5.0
193,2024-01-05 00:30:00,5.0
194,2024-01-05 01:00:00,5.0
195,2024-01-05 01:30:00,5.0
196,2024-01-05 02:00:00,5.0
197,2024-01-05 02:30:00,5.0
198,2024-01-05 03:00:00,5.0
199,2024-01-05 03:30:00,5.0
200,2024-01-05 04:00:00,5.0
201,2024-01-05 04:30:00,5.0
202,2024-01-05 05:00:00,5.0
203,2024-01-05 05:30:00,5.0
204,2024-01-05 06:00:00,5.0
205,2024-01-05 06:30:00,5.0
206,2024-01-05 07:00:00,5.0
207,2024-01-05 07:30:00,5.0
208,2024-01-05 08:00:00,5.0
209,2024-01-05 08:30:00,5.0
210,2024-01-05 09:00:00,5.0
211,2024-01-05 09:30:00,5.0
212,2024-01-05 10:00:00,5.0
213,2024-01-05 10:30:00,5.0
214,2024-01-05 11:00:00,5.0
215,2024-01-05 11:30:00,5.0
216,2024-01-05 12:00:00,5.0
217,2024-01-05 12:30:00,5.0
218,2024-01-05 13:00:00,5.0
219,2024-01-05 13:30:00,5.0
220,2024-01-05 14:00:00,5.0
221,2024-01-05 14:30:00,5.0
222,2024-01-05 15:00:00,5.0
223,2024-01-05 15:30:00,5.0
224,2024-01-05 16:00:00,5.0
225,2024-01-05 16:30:00,5.0
226,2024-01-05 17:00:00,5.0
227,2024-01-05 17:30:00,5.0
228,2024-01-05 18:00:00,5.0
229,2024-01-05 18:30:00,5.0
230,2024-01-05 19:00:00,5.0
231,2024-01-05 19:30:00,5.0
232,2024-01-05 20:00:00,5.0
233,2024-01-05 20:30:00,5.0
234,2024-01-05 21:00:00,5.0
235,2024-01-05 21:30:00,5.0
236,2024-01-05 22:00:00,5.0
237,2024-01-05 22:30:00,5.0
238,2024-01-05 23:00:00,5.0
239,2024-01-05 23:30:00,5.0
240,2024-01-06 00:00:00,5.0
241,2024-01-06 00:30:00,5.0
242,2024-01-06 01:00:00,5.0
243,2024-01-06 01:30:00,5.0
244,2024-01-06 02:00:00,5.0
245,2024-01-06 02:30:00,5.0
246,2024-01-06 03:00:00,5.0
247,2024-01-06 03:30:00,5.0
248,2024-01-06 04:00:00,5.0
249,2024-01-06 04:30:00,5.0
