category,minimum,maximum
1.2.2024,2,8
2.2.2024,6,13
3.2.2024,7,13
4.2.2024,8,13
5.2.2024,9,12
6.2.2024,4,13
7.2.2024,2,6
8.2.2024,2,5
9.2.2024,5,11
10.2.2024,6,10
11.2.2024,4,8
12.2.2024,3,9
13.2.2024,5,11
14.2.2024,10,14
15.2.2024,11,17
16.2.2024,8,13
17.2.2024,8,13
18.2.2024,10,13
19.2.2024,8,12
20.2.2024,7,13
21.2.2024,8,12
22.2.2024,3,9
23.2.2024,2,8
24.2.2024,0,8
25.2.2024,-1,8
26.2.2024,2,8
27.2.2024,0,8
28.2.2024,3,11
29.2.2024,4,11
