category,Wind in m/s
1.1.2024,7.7
2.1.2024,6.3
3.1.2024,5.3
4.1.2024,3.9
5.1.2024,2.9
6.1.2024,2.4
7.1.2024,2.9
8.1.2024,4.6
9.1.2024,5.8
10.1.2024,5.1
11.1.2024,4.5
12.1.2024,3.4
13.1.2024,4
14.1.2024,3.7
15.1.2024,4.2
16.1.2024,5.1
17.1.2024,3
18.1.2024,4.3
19.1.2024,5.7
20.1.2024,8.4
21.1.2024,12.3
22.1.2024,11.4
23.1.2024,9.6
24.1.2024,10.3
25.1.2024,5.5
26.1.2024,8.4
27.1.2024,5.5
28.1.2024,5.4
29.1.2024,4.9
30.1.2024,5.5
31.1.2024,6.6
